region,okato,year,skvozcosts_r
Центральный федеральный округ,030,2020,22242.803
Центральный федеральный округ,030,2021,14066.479
Центральный федеральный округ,030,2022,14291.87
Центральный федеральный округ,030,2023,13931.893
Центральный федеральный округ,030,2024,8670.973
Северо-Западный федеральный округ,031,2020,2565.2363
Северо-Западный федеральный округ,031,2021,1028.6772
Северо-Западный федеральный округ,031,2022,10154.34
Северо-Западный федеральный округ,031,2023,11072.548
Северо-Западный федеральный округ,031,2024,672.5098
Приволжский федеральный округ,033,2020,2981.2827
Приволжский федеральный округ,033,2021,2421.7612
Приволжский федеральный округ,033,2022,1451.0132
Приволжский федеральный округ,033,2023,5867.16
Приволжский федеральный округ,033,2024,3324.11
Уральский федеральный округ,034,2020,2452.8599
Уральский федеральный округ,034,2021,2244.4604
Уральский федеральный округ,034,2022,1466.783
Уральский федеральный округ,034,2023,1749.631
Уральский федеральный округ,034,2024,1027.5614
Северо-Кавказский федеральный округ,038,2020,49.20709
Северо-Кавказский федеральный округ,038,2021,101.6346
Северо-Кавказский федеральный округ,038,2022,173.9214
Северо-Кавказский федеральный округ,038,2023,126.7205
Северо-Кавказский федеральный округ,038,2024,185.1648
Южный федеральный округ,040,2020,1528.9486
Южный федеральный округ,040,2021,1898.4724
Южный федеральный округ,040,2022,543.1561
Южный федеральный округ,040,2023,611.218
Южный федеральный округ,040,2024,138.0713
Сибирский федеральный округ,041,2020,1277.9587
Сибирский федеральный округ,041,2021,582.74835
Сибирский федеральный округ,041,2022,734.5003
Сибирский федеральный округ,041,2023,739.8878
Сибирский федеральный округ,041,2024,1400.2073
Дальневосточный федеральный округ,042,2020,131.40419
Дальневосточный федеральный округ,042,2021,875.831
Дальневосточный федеральный округ,042,2022,475.97632
Дальневосточный федеральный округ,042,2023,772.3312
Дальневосточный федеральный округ,042,2024,792.93085
Алтайский край,1,2020,2.3139
Алтайский край,1,2021,8.390201
Алтайский край,1,2022,16.923801
Алтайский край,1,2023,11.8992
Алтайский край,1,2024,5.5129
Амурская область,10,2020,1.67575
Амурская область,10,2021,1.6914
Амурская область,10,2022,0.5265
Амурская область,10,2023,9.5526
Амурская область,10,2024,9.7476
Архангельская область,11,2020,10.743
Архангельская область,11,2021,4.9999
Архангельская область,11,2022,2.614
